"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get Single Product - Invalid ID","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Inventory","",""
"","34","Get User Cart","SauceDemo API Testing","Tue Jun 23 11:19:24 UTC 2026","passed","Tue Jun 23 11:19:24 UTC 2026","","Cart","",""
"","43","Delete Cart","SauceDemo API Testing","Tue Jun 23 11:19:24 UTC 2026","passed","Tue Jun 23 11:19:24 UTC 2026","","Cart","",""
"","31","Get Single Product - Valid ID","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Inventory","",""
"","59","Get All Products","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Inventory","",""
"","56","Search Products","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:24 UTC 2026","","Inventory","",""
"","34","Login - Missing Fields","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Authentication","",""
"","31","Add Product to Cart","SauceDemo API Testing","Tue Jun 23 11:19:24 UTC 2026","passed","Tue Jun 23 11:19:24 UTC 2026","","Cart","",""
"","37","Update Cart Product Quantity","SauceDemo API Testing","Tue Jun 23 11:19:24 UTC 2026","passed","Tue Jun 23 11:19:24 UTC 2026","","Cart","",""
"","240","Login - Valid Credentials","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Authentication","",""
"","35","Login - Invalid Credentials","SauceDemo API Testing","Tue Jun 23 11:19:23 UTC 2026","passed","Tue Jun 23 11:19:23 UTC 2026","","Authentication","",""
